Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
21-Oct-24,Monday,October,Q4,2024,EQ,1891.10,1898.80,1838.00,1879.60,1850.10,1852.75,1856.08,1991.45,1351.65,4654601.00,185546.00
18-Oct-24,Friday,October,Q4,2024,EQ,1893.80,1936.85,1869.25,1968.10,1885.00,1879.60,1891.59,1991.45,1351.65,10526196.00,335832.00
17-Oct-24,Thursday,October,Q4,2024,EQ,1935.20,1978.00,1930.15,1920.10,1974.55,1968.10,1957.70,1991.45,1351.65,8162822.00,295717.00
16-Oct-24,Wednesday,October,Q4,2024,EQ,1955.00,1959.55,1916.35,1959.30,1918.10,1920.10,1937.33,1991.45,1351.65,3111512.00,139457.00
15-Oct-24,Tuesday,October,Q4,2024,EQ,1960.00,1991.45,1951.75,1958.90,1960.00,1959.30,1965.59,1991.45,1351.65,5353705.00,184609.00
14-Oct-24,Monday,October,Q4,2024,EQ,1932.15,1969.50,1931.10,1935.10,1966.00,1958.90,1957.08,1977.00,1351.65,3751378.00,242164.00
11-Oct-24,Friday,October,Q4,2024,EQ,1918.00,1947.00,1910.10,1919.00,1935.00,1935.10,1932.54,1977.00,1351.65,4709431.00,209438.00
10-Oct-24,Thursday,October,Q4,2024,EQ,1957.90,1964.00,1914.10,1952.75,1917.55,1919.00,1934.31,1977.00,1351.65,4782119.00,187711.00
09-Oct-24,Wednesday,October,Q4,2024,EQ,1952.55,1977.00,1945.10,1948.55,1959.00,1952.75,1961.35,1977.00,1351.65,4857163.00,240629.00
08-Oct-24,Tuesday,October,Q4,2024,EQ,1937.90,1957.95,1906.35,1934.30,1945.95,1948.55,1937.77,1975.75,1351.65,5637391.00,301214.00
07-Oct-24,Monday,October,Q4,2024,EQ,1923.20,1942.00,1916.05,1918.15,1930.15,1934.30,1932.07,1975.75,1351.65,6112575.00,232953.00
04-Oct-24,Friday,October,Q4,2024,EQ,1889.55,1954.10,1886.00,1893.40,1922.00,1918.15,1926.60,1975.75,1351.65,10001483.00,317341.00
03-Oct-24,Thursday,October,Q4,2024,EQ,1889.50,1911.85,1881.00,1904.35,1889.00,1893.40,1895.02,1975.75,1351.65,7503887.00,279836.00
01-Oct-24,Tuesday,October,Q4,2024,EQ,1875.00,1908.95,1875.00,1875.60,1906.00,1904.35,1898.99,1975.75,1351.65,4029072.00,153975.00
30-Sep-24,Monday,September,Q3,2024,EQ,1880.00,1901.25,1870.50,1906.75,1877.60,1875.60,1881.30,1975.75,1351.65,6986955.00,225929.00
27-Sep-24,Friday,September,Q3,2024,EQ,1932.10,1974.60,1903.30,1900.25,1908.00,1906.75,1926.62,1975.75,1351.65,14908931.00,301305.00
26-Sep-24,Thursday,September,Q3,2024,EQ,1897.80,1917.95,1893.00,1895.30,1894.00,1900.25,1902.94,1975.75,1351.65,8952803.00,204902.00
25-Sep-24,Wednesday,September,Q3,2024,EQ,1886.35,1901.60,1876.80,1898.60,1900.00,1895.30,1889.52,1975.75,1351.65,4268341.00,173033.00
24-Sep-24,Tuesday,September,Q3,2024,EQ,1888.00,1910.90,1871.40,1896.45,1900.00,1898.60,1888.94,1975.75,1351.65,7277616.00,181532.00
23-Sep-24,Monday,September,Q3,2024,EQ,1909.00,1918.90,1878.45,1905.75,1895.00,1896.45,1890.26,1975.75,1351.65,3636672.00,133793.00
20-Sep-24,Friday,September,Q3,2024,EQ,1905.00,1915.00,1867.40,1894.20,1910.00,1905.75,1902.04,1975.75,1351.65,15242974.00,346786.00
19-Sep-24,Thursday,September,Q3,2024,EQ,1910.60,1924.90,1878.80,1892.15,1897.00,1894.20,1894.84,1975.75,1351.65,7976570.00,219801.00
18-Sep-24,Wednesday,September,Q3,2024,EQ,1938.75,1938.75,1881.30,1952.55,1892.35,1892.15,1898.20,1975.75,1351.65,6385468.00,252266.00
17-Sep-24,Tuesday,September,Q3,2024,EQ,1947.75,1958.45,1942.15,1950.25,1950.00,1952.55,1951.76,1975.75,1351.65,2793127.00,142203.00
16-Sep-24,Monday,September,Q3,2024,EQ,1945.75,1952.00,1933.05,1944.10,1946.00,1950.25,1943.67,1975.75,1351.65,1570181.00,72563.00
13-Sep-24,Friday,September,Q3,2024,EQ,1950.45,1958.60,1935.65,1950.45,1943.00,1944.10,1948.85,1975.75,1351.65,3843127.00,120139.00
12-Sep-24,Thursday,September,Q3,2024,EQ,1925.00,1956.40,1910.80,1910.15,1943.80,1950.45,1933.56,1975.75,1351.65,8555092.00,219622.00
11-Sep-24,Wednesday,September,Q3,2024,EQ,1914.70,1926.00,1905.00,1912.30,1912.95,1910.15,1915.80,1975.75,1351.65,5312946.00,254659.00
10-Sep-24,Tuesday,September,Q3,2024,EQ,1904.90,1935.00,1896.00,1894.65,1914.15,1912.30,1920.51,1975.75,1351.65,6909600.00,265300.00
09-Sep-24,Monday,September,Q3,2024,EQ,1890.00,1920.85,1889.00,1901.85,1903.00,1894.65,1905.13,1975.75,1351.65,4772612.00,186509.00
06-Sep-24,Friday,September,Q3,2024,EQ,1922.00,1936.50,1896.85,1933.15,1904.00,1901.85,1908.09,1975.75,1351.65,5848106.00,190652.00
05-Sep-24,Thursday,September,Q3,2024,EQ,1926.25,1940.00,1909.60,1922.45,1933.00,1933.15,1924.01,1975.75,1351.65,4081810.00,148492.00
04-Sep-24,Wednesday,September,Q3,2024,EQ,1921.10,1927.20,1900.05,1941.25,1920.70,1922.45,1913.05,1975.75,1351.65,4778310.00,178663.00
03-Sep-24,Tuesday,September,Q3,2024,EQ,1967.00,1967.00,1936.45,1964.50,1940.90,1941.25,1952.15,1975.75,1351.65,4694322.00,146119.00
02-Sep-24,Monday,September,Q3,2024,EQ,1943.35,1975.75,1942.80,1943.70,1959.50,1964.50,1961.02,1975.75,1351.65,5573739.00,231832.00
30-Aug-24,Friday,August,Q3,2024,EQ,1938.00,1950.00,1928.00,1933.35,1949.85,1943.70,1940.67,1951.00,1351.65,13466759.00,246824.00
29-Aug-24,Thursday,August,Q3,2024,EQ,1933.00,1950.50,1920.90,1939.10,1930.20,1933.35,1936.08,1951.00,1351.65,7228284.00,251568.00
28-Aug-24,Wednesday,August,Q3,2024,EQ,1906.90,1951.00,1897.40,1900.10,1938.00,1939.10,1935.93,1951.00,1351.65,6514531.00,239601.00
27-Aug-24,Tuesday,August,Q3,2024,EQ,1876.15,1902.75,1873.90,1876.15,1898.00,1900.10,1895.32,1903.00,1351.65,3830679.00,169020.00
26-Aug-24,Monday,August,Q3,2024,EQ,1870.00,1888.75,1864.00,1862.10,1878.00,1876.15,1879.70,1903.00,1351.65,3728589.00,164417.00
23-Aug-24,Friday,August,Q3,2024,EQ,1878.20,1882.60,1857.00,1880.25,1865.95,1862.10,1864.29,1903.00,1351.65,5015935.00,158876.00
22-Aug-24,Thursday,August,Q3,2024,EQ,1884.00,1893.65,1869.70,1872.70,1879.95,1880.25,1880.39,1903.00,1351.65,4300287.00,185241.00
